weight_index,fold0
0,0.21359688895707774
1,-0.06876865930610791
2,0.029690650789159636
3,0.1525481978642816
4,-0.102557011168297
5,-0.058659354302998394
6,0.061490072138948776
7,0.0349046932607024
8,-0.15592687725823326
9,-0.09047995017303304
10,0.09646709032497301
11,-0.06820439735488955
12,0.043612712006109916
13,0.023944872166125418
14,-0.06485986317011636
15,0.03579305653539983
16,-0.1216359743544282
17,0.09013235672792255
18,0.010061381905689554
19,-0.09379541419288602
20,0.07728634695421847
21,-0.0032139557367735203
22,-0.19280973613749616
23,-0.03537648446718252
24,-0.025509425231240924
25,0.024021488711687005
26,0.057134602749120515
27,0.017225769803678934
28,0.005707416973214399
29,-0.13448829571321438
30,-0.09636883277841152
31,0.07768766425733323
32,0.05894351803923427
33,0.011443355892573306
34,0.15252374588102255
35,-0.03591970019593165
36,-0.02314045997457851
37,0.028431698446660388
38,0.04233072330305824
39,0.14619659170023194
40,0.16050724795499607
41,-0.05685223595335821
42,-0.03990627923006925
43,0.02403453935506945
44,-0.040502754047574585
45,-0.18180793497038825
46,-0.0338147724118534
47,-0.01365802864130435
48,0.03797058470177879
49,-0.15263900364238
50,-0.032063701467806544
51,0.1310335114191282
52,-0.11664384214295509
53,0.03514429524482236
54,-0.007461297295695064
55,-0.03370952013606096
56,0.018368486959949942
57,-0.012661697920525761
58,-0.020136627821349187
59,0.07022570290173137
60,0.014728485946536375
61,0.00456032012681272
62,-0.13069140752228073
63,-0.09257115793961294
64,-0.047268947262334125
65,0.24904518650504395
66,-0.08157824690719845
67,-0.022851947874779996
68,-0.13970287293188063
69,0.11449990980023118
70,0.09870024613515557
71,0.008562853863781247
72,0.1929449425620938
73,-0.038638594663606834
74,0.05642405395358604
75,0.05821285068090493
76,-0.06265452069513483
77,0.0017001940360574547
78,0.03708769280690776
79,-0.005246993329513309
80,-0.11120653709637776
81,0.03549567294643715
82,0.051539645850055056
83,-0.19449915391962805
84,0.031629131694456095
85,0.02648158283224295
86,0.14997187783541369
87,0.06353007783384589
88,-0.04062133480029155
89,-0.09434840859562857
90,0.11711599645975605
91,0.16987358512205591
92,0.0768511197671061
93,0.002328377290426233
94,-0.003679151291090539
95,0.015405380928462347
96,0.024702850761580682
97,0.055697604844529014
98,-0.020916566915678992
99,0.12075785499903349
100,0.0687344355615237
101,-0.05508932306185836
102,0.05560071467729354
103,0.06781928263985075
104,-0.01876974732795626
105,-0.030283227216151083
106,-0.008894311702474324
107,0.021622549872873015
108,-0.005325380420004225
109,0.05370701178240182
110,0.006041168828770485
111,-0.06600166805987734
112,0.019371285667748223
113,0.009042911556687754
114,0.0484199425294766
115,0.022924554780337125
116,-0.03632264713479053
117,0.05020862419980435
118,0.04474512598225785
119,0.00811881493587779
120,0.011533385214422475
121,0.03256721992964284
122,-0.05093141999397823
